t,P,Q,q_US,q_OPEC,q_RUS,profit_US,profit_OPEC,profit_RUS
39,60.000000106939936,79.99999989306006,15.172443598670082,39.80292152513423,25.024634769255748,227.58665560259138,1592.116865261891,625.6158719075265
40,60.000000064163956,79.99999993583604,15.155199249497068,39.822629383314805,25.02217130302417,227.32798971487355,1592.9051778877697,625.5542841811257
41,60.00000003849837,79.99999996150163,15.139679330963759,39.84036645139972,25.01995417913815,227.09519054730936,1593.6146595897778,625.4988554416813
42,60.00000002309902,79.99999997690098,15.125711401717222,39.856329810109585,25.017958765074173,226.88567137514744,1594.2531933250254,625.4489697047446
43,60.000000013859406,79.9999999861406,15.113140263855403,39.87069683140853,25.016162890876657,226.69710416729018,1594.8278738089255,625.4040726186256
44,60.00000000831564,79.99999999168436,15.101826238855805,39.88362714965362,25.014546603174935,226.5273937084184,1595.3450863178025,625.3636652873853
45,60.000000004989374,79.99999999501063,15.09164361580179,39.89526443551982,25.01309194368901,226.3746543123247,1595.8105776198452,625.3272987170249
46,60.000000002993616,79.99999999700638,15.08247925472055,39.90573799246678,25.011782749819048,226.2371888659594,1596.2295198181337,625.2945688203519
47,60.00000000179617,79.99999999820383,15.074231329547858,39.915164193519466,25.010604475136507,226.11346997029372,1596.606567812473,625.2651119233359
48,60.000000001077694,79.9999999989223,15.06680819677269,39.92364777434714,25.009544027802477,226.00212296782777,1596.945911016911,625.2386007220146
49,60.00000000064661,79.99999999935339,15.060127377203191,39.9312829970202,25.00858962513,225.90191066778587,1597.2513199066277,625.2147406444208
