US,OPEC,RUS,P,reward
28.047621846199036,4.285714285714286,36.33333193404334,71.33333193404333,219.99999400304284
18.619048318692613,21.428571428571427,32.47619012636798,67.47619012636798,1017.3469312793138
14.11904779395887,34.285714285714285,28.297618960163422,63.29761896016342,1484.4897929198887
16.208333377061145,34.285714285714285,27.252976168612285,62.25297616861229,1448.6734686381358
16.730654772836715,34.285714285714285,26.9918154707245,61.991815470724504,1439.7193875676971
16.86123512178061,34.285714285714285,26.926525296252553,61.92652529625255,1437.4808673000873
16.89388020901658,34.285714285714285,26.910202752634568,61.910202752634575,1436.9212372331854
16.902041480825574,34.285714285714285,26.90612211673007,61.906122116730074,1436.7813297164596
16.904081798777824,34.285714285714285,26.905101957753946,61.90510195775394,1436.746352837278
16.904591878265883,34.285714285714285,26.904846918009916,61.90484691800992,1436.7376086174831
16.9047193981379,34.285714285714285,26.904783158073908,61.90478315807391,1436.735422562534
16.904751278105905,34.285714285714285,26.904767218089905,61.9047672180899,1436.7348760487967
16.904759248097903,34.285714285714285,26.904763233093906,61.9047632330939,1436.7347394203623
16.904761240595903,34.285714285714285,26.904762236844906,61.9047622368449,1436.7347052632538
16.904761738720403,34.285714285714285,26.904761987782656,61.90476198778265,1436.7346967239764
16.90476186325153,34.285714285714285,26.904761925517093,61.90476192551709,1436.7346945891575
16.90476189438431,34.285714285714285,26.9047619099507,61.90476190995071,1436.7346940554528
16.904761902167508,34.285714285714285,26.904761906059104,61.90476190605911,1436.7346939220265
16.904761904113307,34.285714285714285,26.904761905086204,61.904761905086204,1436.7346938886699
16.904761904599756,34.285714285714285,26.904761904842978,61.904761904842985,1436.734693880331
16.90476190472137,34.285714285714285,26.904761904782173,61.90476190478218,1436.734693878246
12.619047619037488,42.857142857142854,24.76190476190983,59.76190476190983,1704.0816326532783
35.119047619045084,0.0,34.940476190477455,69.94047619047745,0.0
2.1726190476184115,55.714285714285715,23.556547619047937,58.55654761904793,2148.150510204099
35.72172619047603,0.0,34.63913690476198,69.63913690476198,0.0
28.037574404761866,4.285714285714286,36.338355654761926,71.33835565476193,220.02152423469397
18.61653645833332,21.428571428571427,32.47744605654763,67.47744605654762,1017.3738440688775
14.118419828869044,34.285714285714285,28.297932942708336,63.29793294270834,1484.5005580357147
16.20817638578869,34.285714285714285,27.253054664248513,62.25305466424851,1448.6761599170918
16.7306155250186,34.285714285714285,26.991835094633558,61.99183509463356,1439.7200603874362
16.86122530982608,34.285714285714285,26.92653020222982,61.92653020222981,1437.4810355050222
16.893877756027948,34.285714285714285,26.910203979128884,61.91020397912888,1436.9212792844187
16.902040867578414,34.285714285714285,26.90612242335365,61.90612242335365,1436.781340229268
16.904081645466032,34.285714285714285,26.905102034409843,61.905102034409836,1436.74635546548
16.904591839937936,34.285714285714285,26.90484693717389,61.904846937173886,1436.7376092745333
16.90471938855591,34.285714285714285,26.904783162864902,61.9047831628649,1436.7354227267965
16.904751275710407,34.285714285714285,26.904767219287656,61.90476721928765,1436.7348760898622
16.90475924749903,34.285714285714285,26.904763233393343,61.90476323339334,1436.7347394306287
16.904761240446184,34.285714285714285,26.904762236919765,61.904762236919765,1436.7347052658206
