episode_id,start_step,trough_step,recovery_step,cycle_length,duration_recovery,price_drop,pre_price,trough_price,post_price
124,64518,64663,64685,167,22,4.9161,62.8304,57.9143,62.3566
125,64699,64833,65203,504,370,6.5946,63.45,56.8554,58.6461
126,65294,65349,65406,112,57,5.4589,59.875,54.4161,56.3116
127,66075,66247,66286,211,39,5.3071,59.9446,54.6375,57.1676
128,66393,66464,66479,86,15,4.7786,59.5875,54.8089,58.2679
129,66918,67092,67253,335,161,5.5214,60.5982,55.0768,58.7828
130,68363,68517,68561,198,44,4.7571,59.8589,55.1018,59.3731
131,68604,68742,68768,164,26,5.4464,60.4018,54.9554,58.5996
132,69349,69528,69841,492,313,6.2482,60.7839,54.5357,57.487
133,70263,70391,70492,229,101,4.7661,60.1786,55.4125,57.0727
134,71021,71071,71095,74,24,5.0089,63.6696,58.6607,62.0635
135,71313,71491,71523,210,32,5.95,61.1714,55.2214,59.3632
136,71609,71716,71762,153,46,4.8911,62.5786,57.6875,61.3282
137,72270,72424,72471,201,47,6.9607,62.6268,55.6661,59.0868
138,72481,72513,72554,73,41,5.1339,61.5661,56.4321,58.5808
139,72983,73087,73103,120,16,5.2304,61.7768,56.5464,60.6362
140,73221,73334,73391,170,57,8.4518,62.5357,54.0839,59.3562
141,73399,73449,73559,160,110,7.725,61.5714,53.8464,58.4028
142,73565,73690,73771,206,81,8.375,60.9232,52.5482,57.4892
143,73779,73865,73918,139,53,6.7429,59.2464,52.5036,57.0038
144,74010,74119,74167,157,48,4.9393,60.125,55.1857,59.4955
145,74224,74274,74336,112,62,7.3339,62.3054,54.9714,60.5394
146,74378,74550,74582,204,32,8.7804,62.0304,53.25,59.3481
147,74592,74640,74694,102,54,7.6018,61.2607,53.6589,59.6698
148,74941,75084,75189,248,105,8.9982,62.8929,53.8946,61.7871
149,75199,75381,75596,397,215,9.0375,62.4554,53.4179,60.2328
150,75617,75707,75754,137,47,4.8429,61.4357,56.5929,60.6998
151,76047,76205,76253,206,48,5.2143,61.7893,56.575,60.7631
152,76336,76527,76559,223,32,6.1196,62.5339,56.4143,61.3134
153,76581,76659,76705,124,46,5.6804,62.7732,57.0929,59.0114
154,76946,77035,77070,124,35,6.0964,61.9464,55.85,61.0237
155,77256,77409,77434,178,25,4.8179,60.7696,55.9518,59.4417
156,77458,77614,77970,512,356,8.0821,60.6196,52.5375,56.8202
157,77983,78133,78438,455,305,5.5232,59.2089,53.6857,56.2879
158,79172,79354,79509,337,155,10.3446,59.3571,49.0125,57.0647
159,79537,79582,79676,139,94,12.0714,59.2661,47.1946,59.0705
160,79792,79941,80024,232,83,6.6625,63.7839,57.1214,59.7661
161,80028,80193,80222,194,29,7.8839,62.8679,54.9839,59.9858
162,80503,80624,80647,144,23,5.3286,63.2911,57.9625,60.929
163,80672,80786,92916,12244,12130,11.5786,61.975,50.3964,59.7899
164,92927,93034,93231,304,197,9.9196,60.6071,50.6875,57.5052
165,93240,93425,93611,371,186,5.5196,58.8643,53.3446,57.9016
166,93782,93941,93983,201,42,10.6554,58.0107,47.3554,57.0988
167,94228,94402,94428,200,26,4.975,56.2161,51.2411,58.6793
168,94471,94551,94743,272,192,9.9304,61.3232,51.3929,57.2776
